Date,Open,High,Low,Close,Adj Close,Volume
2002-04-25,53964.953125,55338.605469,50825.171875,51413.882813,41733.417969,3988764.0
2002-04-26,50825.171875,54946.132813,49353.402344,53768.714844,43644.867188,4179962.0
2002-04-29,50334.582031,52395.0625,50334.582031,51217.644531,41574.128906,2028473.0
2002-04-30,51021.410156,51413.882813,49255.285156,50040.226563,40618.398438,2017364.0
2002-05-01,50040.226563,50040.226563,50040.226563,50040.226563,40618.398438,0.0
2002-05-02,51708.234375,53866.835938,50727.054688,53866.835938,43724.519531,2293460.0
2002-05-03,52983.769531,56123.550781,52591.300781,55927.3125,45397.042969,2294174.0
2002-05-06,54553.660156,56614.140625,53964.953125,53964.953125,43804.167969,1918096.0
2002-05-07,52983.769531,54455.542969,52591.300781,54455.542969,44202.386719,1649237.0
2002-05-08,55829.195313,57202.847656,55240.488281,56908.496094,46193.484375,2006867.0
2002-05-09,58772.738281,58772.738281,55927.3125,57399.085938,46591.707031,2178803.0
2002-05-10,56712.257813,57006.613281,52885.652344,53376.242188,43326.296875,2143743.0
2002-05-13,53376.242188,53376.242188,50825.171875,52983.769531,43007.71875,1895776.0
2002-05-14,53572.480469,54749.898438,49647.757813,50923.292969,41335.207031,4342420.0
2002-05-15,51512.0,53081.890625,51315.761719,52787.535156,42848.433594,3690348.0
2002-05-16,53474.363281,53474.363281,51021.410156,51021.410156,41414.847656,1863264.0
2002-05-17,52198.828125,53376.242188,51610.117188,52493.179688,42609.5,1967323.0
2002-05-20,52493.179688,54357.425781,52395.0625,53376.242188,43326.296875,1604596.0
2002-05-21,53180.007813,53180.007813,51021.410156,51021.410156,41414.847656,1117734.0
2002-05-22,51021.410156,52983.769531,50530.820313,52787.535156,42848.433594,1311073.0
2002-05-23,51806.355469,53180.007813,51806.355469,52002.589844,42211.28125,901770.0
2002-05-24,52493.179688,53474.363281,52395.0625,52885.652344,42928.082031,977393.0
2002-05-27,51806.355469,52885.652344,51610.117188,51806.355469,42052.003906,571861.0
2002-05-28,52100.707031,52395.0625,50530.820313,51512.0,41813.058594,783239.0
2002-05-29,50334.582031,51021.410156,49942.109375,50530.820313,41016.632813,895859.0
2002-05-30,50040.226563,50334.582031,47538.21875,47783.511719,38786.589844,1603883.0
2002-05-31,47783.511719,48274.101563,44594.675781,44938.085938,36476.925781,1400455.0
2002-06-03,44643.734375,47391.039063,44594.675781,47391.039063,38468.023438,1362643.0
2002-06-04,45919.269531,48568.457031,45919.269531,48077.867188,39025.527344,1011638.0
2002-06-05,48960.929688,50727.054688,48372.222656,50530.820313,41016.632813,1433374.0
2002-06-06,50530.820313,50530.820313,50530.820313,50530.820313,41016.632813,0.0
2002-06-07,49843.992188,51315.761719,48960.929688,50825.171875,41255.554688,1280395.0
2002-06-10,51610.117188,52591.300781,51610.117188,52100.707031,42290.925781,955175.0
2002-06-11,52100.707031,53670.597656,51512.0,53376.242188,43326.296875,882915.0
2002-06-12,52493.179688,53964.953125,51806.355469,53964.953125,43804.167969,1201715.0
2002-06-13,53964.953125,53964.953125,53964.953125,53964.953125,43804.167969,0.0
2002-06-14,53474.363281,54063.070313,51315.761719,51610.117188,41892.714844,1156973.0
2002-06-17,51904.472656,52591.300781,51217.644531,51708.234375,41972.351563,682239.0
2002-06-18,52689.417969,53278.125,51708.234375,51904.472656,42131.636719,674595.0
2002-06-19,51119.527344,52198.828125,48862.8125,49157.164063,39901.605469,1069833.0
2002-06-20,48666.574219,49451.519531,47783.511719,49059.046875,39821.960938,691615.0
2002-06-21,48077.867188,50825.171875,47391.039063,50825.171875,41255.554688,620782.0
2002-06-24,49549.636719,50236.464844,48862.8125,49647.757813,40299.832031,770194.0
2002-06-25,50138.347656,50727.054688,47881.628906,47979.75,38945.890625,978208.0
2002-06-26,46213.621094,46458.917969,42681.371094,43319.140625,35162.796875,1515826.0
2002-06-27,45134.324219,45330.558594,43809.730469,44545.613281,36158.347656,1100000.0
2002-06-28,45330.558594,48225.042969,45330.558594,47096.6875,38229.085938,1039359.0
2002-07-01,47096.6875,47096.6875,47096.6875,47096.6875,38229.085938,0.0
2002-07-02,45624.914063,48813.753906,45281.5,48274.101563,39184.8125,1114473.0
2002-07-03,48077.867188,49549.636719,46998.566406,49353.402344,40060.90625,915427.0
2002-07-04,49451.519531,49843.992188,46704.214844,48323.160156,39224.628906,2400780.0
2002-07-05,49353.402344,50727.054688,48960.929688,49942.109375,40538.761719,1735357.0
2002-07-08,51512.0,51806.355469,49647.757813,50530.820313,41016.632813,1531827.0
2002-07-09,51315.761719,51413.882813,50138.347656,51315.761719,41653.769531,934282.0
2002-07-10,50138.347656,51315.761719,49745.875,50236.464844,40777.6875,1450700.0
2002-07-11,49059.046875,49353.402344,47292.921875,47930.6875,38906.0625,1752276.0
2002-07-12,48519.398438,48960.929688,47440.097656,48126.925781,39065.339844,1605004.0
2002-07-15,46704.214844,47685.394531,46311.742188,46458.917969,37711.398438,1625388.0
2002-07-16,45379.617188,47489.15625,45379.617188,45477.738281,36914.964844,1182758.0
2002-07-17,45477.738281,45477.738281,45477.738281,45477.738281,36914.964844,0.0
2002-07-18,45134.324219,46164.5625,44545.613281,44643.734375,36237.988281,1048022.0
2002-07-19,43760.671875,45624.914063,43417.257813,45330.558594,36795.492188,1303938.0
2002-07-22,43466.316406,44251.261719,42485.136719,42485.136719,34485.816406,1433374.0
2002-07-23,42190.78125,44202.203125,41749.25,44153.144531,35839.765625,1515316.0
2002-07-24,44153.144531,45330.558594,43711.609375,44643.734375,36237.988281,2115206.0
2002-07-25,46704.214844,46704.214844,43858.789063,44055.023438,35760.125,1629057.0
2002-07-26,43564.433594,44545.613281,41209.601563,41798.308594,33928.3125,1189892.0
2002-07-29,41896.425781,42632.3125,41013.363281,41405.835938,33609.742188,990541.0
2002-07-30,43858.789063,44251.261719,42583.253906,43858.789063,35600.835938,1587678.0
2002-07-31,43858.789063,44692.792969,43417.257813,43858.789063,35600.835938,708839.0
2002-08-01,43760.671875,44251.261719,42632.3125,43073.84375,34963.683594,536190.0
2002-08-02,41896.425781,42190.78125,41405.835938,42092.664063,34167.253906,736867.0
2002-08-05,41209.601563,41602.070313,39541.59375,39590.652344,32136.328125,941110.0
2002-08-06,38364.175781,38854.765625,37235.816406,38266.058594,31061.130859,2449293.0
2002-08-07,39247.238281,39541.59375,38266.058594,38560.410156,31300.064453,1511443.0
2002-08-08,38658.53125,39100.0625,37824.527344,38364.175781,31140.777344,1225971.0
2002-08-09,39835.945313,40130.300781,38952.882813,38952.882813,31618.642578,1254610.0
2002-08-12,39247.238281,40375.597656,39198.179688,39492.535156,32056.673828,1171547.0
2002-08-13,39492.535156,42190.78125,39198.179688,42190.78125,34246.894531,1288039.0
2002-08-14,41209.601563,43270.078125,41209.601563,42877.609375,34804.402344,1372529.0
2002-08-15,42877.609375,42877.609375,42877.609375,42877.609375,34804.402344,0.0
2002-08-16,44104.082031,44300.320313,42681.371094,42779.488281,34724.757813,1315251.0
2002-08-19,42779.488281,43171.960938,41896.425781,41896.425781,34007.957031,975661.0
2002-08-20,42975.726563,43368.199219,42583.253906,43368.199219,35202.625,1258789.0
2002-08-21,42681.371094,44153.144531,42681.371094,43956.90625,35680.484375,870787.0
2002-08-22,44251.261719,45134.324219,43956.90625,44741.851563,36317.636719,1248597.0
